Device_id,Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Preparing
0,0,6.849717316350341,0,1.0836149770826105,1.0836149770826105,5.150282683649659,Prefill,,
0,1,6.830482176733015,0,1.0860004174888134,1.0860004174888134,5.169517823266985,Prefill,,
0,2,6.731896520099047,0,1.0841975500673056,1.0841975500673056,5.268103479900953,Decode,,
0,3,6.866512718939779,0,1.0809324561536313,1.0809324561536313,5.133487281060221,Decode,,
0,4,6.925979236990214,0,1.0776180136799813,1.0776180136799813,5.074020763009786,Decode,,
0,5,6.90253197722733,0,1.0849872527748345,1.0849872527748345,5.09746802277267,Decode,,
0,6,6.843953043857219,0,1.0930668155699965,1.0930668155699965,5.156046956142781,Decode,,
0,7,6.767786333104969,0,1.0795139450997113,1.0795139450997113,5.232213666895031,Decode,,
0,8,6.825159379306435,0,1.086381573870778,1.086381573870778,5.174840620693565,Decode,,
0,9,6.881414570000769,0,1.0873218475013973,1.0873218475013973,5.118585429999231,Decode,,
0,10,6.830542770758269,0,1.0896155148774387,1.0896155148774387,5.169457229241731,Decode,,
0,11,6.848520937326549,0,1.0734973725706338,1.0734973725706338,5.151479062673451,Decode,,
0,12,6.884977500200272,0,1.085222421902418,1.085222421902418,5.115022499799728,Decode,,
0,13,6.723077386650444,0,1.0849299784988167,1.0849299784988167,5.276922613349556,Decode,,
0,14,6.907637367117404,0,1.0630549843370916,1.0630549843370916,5.092362632882596,Decode,,
0,15,6.688237335678936,0,1.0842913223475217,1.0842913223475217,5.311762664321064,Decode,,
0,16,6.80357093576491,0,1.1107270807057616,1.1107270807057616,5.19642906423509,Decode,,
0,17,6.810779755547643,0,1.1055910369545223,1.1055910369545223,5.189220244452357,Decode,,
0,18,6.876775403741004,0,1.0827996856361626,1.0827996856361626,5.123224596258996,Decode,,
0,19,6.890922126960758,0,1.080292611426115,1.080292611426115,5.109077873039242,Decode,,
