Device_id,Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),mac_ratio,mte2_ratio
0,MatMulV2,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,129.831,133.831,0.18,0.44
0,FusedInferAttentionScore,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,72.199,76.199,0.18,0.44
0,RmsNorm,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,27.646,31.646,0.18,0.44
0,AllReduce,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,33.438,37.438,0.18,0.44
0,aclrtMemcpyAsync_D2H,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,260,264,0.18,0.44
0,MatMulV2,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,110.586,114.586,0.18,0.44
0,FusedInferAttentionScore,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,72.673,76.673,0.18,0.44
0,RmsNorm,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,22.164,26.164,0.18,0.44
0,AllReduce,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,35.26,39.26,0.18,0.44
0,MatMulV2,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,115.626,119.626,0.18,0.44
0,FusedInferAttentionScore,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,73.819,77.819,0.18,0.44
0,RmsNorm,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,24.209,28.209,0.18,0.44
0,AllReduce,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,31.812,35.812,0.18,0.44
0,MatMulV2,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,115.409,119.409,0.18,0.44
0,FusedInferAttentionScore,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,75.069,79.069,0.18,0.44
0,RmsNorm,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,24.357,28.357,0.18,0.44
0,AllReduce,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,30.973,34.973,0.18,0.44
0,MatMulV2,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,124.026,128.026,0.18,0.44
0,FusedInferAttentionScore,"[[1,1024],[1024,4096]]",vllm/worker/model_runner.py:1234,6.5,9.8,73.424,77.424,0.18,0.44
