Device_id,Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Preparing
0,0,6.890605324828624,0,1.101069150954485,1.101069150954485,15.109394675171375,Prefill,,
0,1,6.871626970994472,0,1.076061606961489,1.076061606961489,15.128373029005528,Prefill,,
0,2,6.841720726323128,0,1.0890836620271207,1.0890836620271207,15.158279273676872,Decode,,
0,3,6.781719514131545,0,1.0955844362914562,1.0955844362914562,15.218280485868455,Decode,,
0,4,6.8926980540961,0,1.0756027215451,1.0756027215451,15.107301945903899,Decode,,
0,5,6.8135972725659615,0,1.1048471908956767,1.1048471908956767,15.18640272743404,Decode,,
0,6,6.861907553884389,0,1.0947156002968552,1.0947156002968552,15.13809244611561,Decode,,
0,7,6.781685473763943,0,1.092456314641237,1.092456314641237,15.218314526236055,Decode,,
0,8,6.928128891026974,0,1.1036645758450034,1.1036645758450034,15.071871108973026,Decode,,
0,9,6.822750794249775,0,1.0839296549677848,1.0839296549677848,15.177249205750224,Decode,,
0,10,6.8236692844480284,0,1.106136013135314,1.106136013135314,15.176330715551972,Decode,,
0,11,6.878295746445656,0,1.085396086972952,1.085396086972952,15.121704253554345,Decode,,
0,12,6.9060778828948735,0,1.092430052933097,1.092430052933097,15.093922117105127,Decode,,
0,13,6.942586773762107,0,1.0816466839164496,1.0816466839164496,15.057413226237891,Decode,,
0,14,6.922912698256971,0,1.0844324074089524,1.0844324074089524,15.07708730174303,Decode,,
0,15,6.797663665121794,0,1.0913988359451294,1.0913988359451294,15.202336334878206,Decode,,
0,16,6.830954922503232,0,1.0798841105461123,1.0798841105461123,15.169045077496769,Decode,,
0,17,6.774407095167042,0,1.08856956243217,1.08856956243217,15.225592904832958,Decode,,
0,18,6.8840830654501906,0,1.1007475840389729,1.1007475840389729,15.115916934549809,Decode,,
0,19,6.832848524066806,0,1.0989182671993973,1.0989182671993973,15.167151475933196,Decode,,
